11.59;[0];[0, 2];[0, 1, 2];[2]
11.59;[0, 1];[0];[0, 2];[0, 2, 2]
11.59;[0, 1];[0, 2];[2];[2]
11.59;[0, 1];[0, 2];[0];[0, 2, 2]
11.379999999999999;[];[0, 1];[0, 1, 1];[0, 1, 2]
11.379999999999999;[];[0, 1];[0, 2];[0, 1, 1, 1]
11.379999999999999;[0];[0];[0, 1, 1];[0, 1, 1, 2]
11.379999999999999;[0];[0];[0, 1, 1, 1];[1, 2]
11.379999999999999;[0];[0];[0, 1, 2];[1, 1, 1]
11.379999999999999;[0];[0];[0, 2];[0, 1, 1, 1, 1]
11.379999999999999;[0];[0, 1];[0, 1];[0, 1, 1, 2]
11.379999999999999;[0];[0, 1];[0, 1, 1, 1];[2]
11.379999999999999;[0];[0, 1];[0, 1, 2];[1, 1]
11.379999999999999;[0];[0, 1, 1];[1];[0, 1, 2]
11.379999999999999;[0];[0, 1, 1];[1, 1];[2]
11.379999999999999;[0];[0, 1, 1];[2];[1, 1]
11.379999999999999;[0];[0, 1, 1];[0];[0, 1, 1, 2]
11.379999999999999;[0];[0, 1, 1];[0, 1, 2];[1]
11.379999999999999;[0];[0, 2];[1];[0, 1, 1, 1]
11.379999999999999;[0];[0, 2];[1, 1];[1, 1]
11.379999999999999;[0];[0, 2];[0];[0, 1, 1, 1, 1]
11.379999999999999;[0];[0, 2];[0, 1, 1, 1];[1]
11.379999999999999;[0, 1];[];[0, 1, 1];[0, 1, 2]
11.379999999999999;[0, 1];[];[0, 2];[0, 1, 1, 1]
11.379999999999999;[0, 1];[1];[0, 1];[0, 1, 2]
11.379999999999999;[0, 1];[1];[0, 1, 1];[2]
11.379999999999999;[0, 1];[1];[0, 2];[1, 1]
11.379999999999999;[0, 1];[0];[0, 1];[0, 1, 1, 2]
11.379999999999999;[0, 1];[0];[0, 1, 1, 1];[2]
11.379999999999999;[0, 1];[0];[0, 1, 2];[1, 1]
11.379999999999999;[0, 1];[0, 1];[0];[0, 1, 1, 2]
11.379999999999999;[0, 1];[0, 1];[0, 1, 2];[1]
11.379999999999999;[0, 1];[0, 1, 1];[];[0, 1, 2]
11.379999999999999;[0, 1];[0, 1, 1];[1];[2]
11.379999999999999;[0, 1];[0, 1, 1];[2];[1]
11.379999999999999;[0, 1];[0, 1, 1];[0, 1, 2];[]
11.379999999999999;[0, 1];[0, 2];[];[0, 1, 1, 1]
11.379999999999999;[0, 1];[0, 2];[1];[1, 1]
11.379999999999999;[0, 1];[0, 2];[1, 1];[1]
11.379999999999999;[0, 1];[0, 2];[0, 1, 1, 1];[]
10.79;[0];[0];[0, 1, 2];[0, 4]
10.79;[0];[0, 1];[0, 2];[0, 4]
10.79;[0];[0, 2];[0, 1];[0, 4]
10.79;[0, 1];[0];[0, 2];[0, 4]
10.79;[0, 1];[0, 2];[0];[0, 4]
10.77;[0];[0];[0, 3];[0, 1, 3]
10.77;[0];[0, 1];[0, 3];[3]
10.77;[0, 1];[0];[0, 3];[3]
10.72;[0];[0];[0, 3];[0, 2, 2]
10.72;[0];[0, 2];[2];[0, 3]
10.72;[0];[0, 2];[0, 3];[2]
10.51;[];[0, 1];[0, 1, 1];[0, 3]
10.51;[0];[0];[0, 1, 1];[0, 1, 3]
10.51;[0];[0];[0, 1, 1, 1];[3]
10.51;[0];[0];[0, 3];[1, 1, 1]
10.51;[0];[0, 1];[0, 1];[0, 1, 3]
10.51;[0];[0, 1];[0, 3];[1, 1]
10.51;[0];[0, 1, 1];[1];[0, 3]
10.51;[0];[0, 1, 1];[0];[0, 1, 3]
10.51;[0];[0, 1, 1];[0, 3];[1]
10.51;[0, 1];[];[0, 1, 1];[0, 3]
10.51;[0, 1];[1];[0, 1];[0, 3]
10.51;[0, 1];[0];[0, 1];[0, 1, 3]
10.51;[0, 1];[0];[0, 3];[1, 1]
10.51;[0, 1];[0, 1];[0];[0, 1, 3]
10.51;[0, 1];[0, 1];[0, 3];[1]
10.51;[0, 1];[0, 1, 1];[];[0, 3]
10.51;[0, 1];[0, 1, 1];[0, 3];[]
10.46;[];[0, 1];[0, 2];[0, 1, 2]
10.46;[0];[0];[0, 1, 1];[0, 2, 2]
10.46;[0];[0];[0, 1, 2];[1, 2]
10.46;[0];[0, 1];[0, 1];[0, 2, 2]
10.46;[0];[0, 1];[0, 1, 2];[2]
10.46;[0];[0, 1, 1];[2];[2]
10.46;[0];[0, 1, 1];[0];[0, 2, 2]
10.46;[0];[0, 2];[1];[0, 1, 2]
10.46;[0];[0, 2];[1, 1];[2]
10.46;[0];[0, 2];[2];[1, 1]
