21.23;[0, 1];[0, 2];[0, 2];[0, 1, 3];[1, 3]
21.23;[0, 1];[0, 2];[0, 3];[1, 2];[0, 1, 3]
21.23;[0, 1];[0, 2];[0, 3];[3];[0, 1, 1, 2]
21.23;[0, 1];[0, 2];[0, 3];[0, 1, 1, 2];[3]
21.23;[0, 1];[0, 2];[0, 3];[0, 1, 3];[1, 2]
21.18;[0];[0, 1, 1];[0, 3];[0, 2, 2];[2, 2]
21.18;[0];[0, 2];[0, 1, 2];[0, 1, 3];[2, 2]
21.18;[0];[0, 2];[0, 1, 2];[0, 2, 2];[1, 3]
21.18;[0];[0, 2];[0, 3];[0, 1, 1, 2];[2, 2]
21.18;[0];[0, 2];[0, 3];[0, 2, 2];[1, 1, 2]
21.18;[0, 1];[0, 1];[0, 3];[0, 2, 2];[2, 2]
21.18;[0, 1];[0, 2];[0, 1, 2];[3];[0, 2, 2]
21.18;[0, 1];[0, 2];[0, 1, 2];[0, 2, 2];[3]
21.18;[0, 1];[0, 2];[0, 2];[0, 1, 3];[2, 2]
21.18;[0, 1];[0, 2];[0, 2];[0, 2, 2];[1, 3]
21.18;[0, 1];[0, 2];[0, 3];[1, 2];[0, 2, 2]
21.18;[0, 1];[0, 2];[0, 3];[0, 2, 2];[1, 2]
21.130000000000003;[0];[0, 2];[0, 1, 2];[0, 2, 2];[2, 2]
21.130000000000003;[0, 1];[0, 2];[0, 2];[0, 2, 2];[2, 2]
21.02;[0, 1];[0, 1, 1];[0, 1, 1, 1];[3];[3]
21.02;[0, 1];[0, 1, 1];[0, 3];[1, 1, 1];[3]
21.02;[0, 1];[0, 1, 1];[0, 3];[3];[1, 1, 1]
20.97;[0, 1];[0, 1, 1];[0, 1, 2];[1, 2];[3]
20.97;[0, 1];[0, 1, 1];[0, 1, 2];[3];[1, 2]
20.97;[0, 1];[0, 1, 1];[0, 3];[1, 2];[1, 2]
20.97;[0, 1];[0, 2];[0, 1, 1, 1];[1, 2];[3]
20.97;[0, 1];[0, 2];[0, 1, 1, 1];[3];[1, 2]
20.97;[0, 1];[0, 2];[0, 1, 2];[1, 1, 1];[3]
20.97;[0, 1];[0, 2];[0, 1, 2];[3];[1, 1, 1]
20.97;[0, 1];[0, 2];[0, 3];[1, 1, 1];[1, 2]
20.97;[0, 1];[0, 2];[0, 3];[1, 2];[1, 1, 1]
20.92;[0, 1];[0, 2];[0, 1, 2];[1, 2];[1, 2]
20.75;[0];[0, 1, 1];[0, 3];[0, 4];[0, 5]
20.75;[0, 1];[0, 1];[0, 3];[0, 4];[0, 5]
20.71;[0];[0, 2];[0, 3];[0, 4];[0, 1, 4]
20.71;[0, 1];[0, 2];[0, 3];[0, 4];[4]
20.7;[0];[0, 2];[0, 1, 2];[0, 4];[0, 5]
20.7;[0, 1];[0, 2];[0, 2];[0, 4];[0, 5]
20.68;[0];[0, 2];[0, 3];[0, 1, 3];[0, 5]
20.68;[0, 1];[0, 2];[0, 3];[0, 3];[0, 5]
20.64;[0];[0, 2];[0, 3];[0, 4];[0, 2, 3]
20.630000000000003;[0];[0, 2];[0, 3];[0, 2, 2];[0, 5]
20.49;[0];[0, 1];[0, 1, 1, 1];[0, 4];[0, 5]
20.49;[0];[0, 1, 1];[0, 1, 1];[0, 4];[0, 5]
20.49;[0, 1];[0];[0, 1, 1, 1];[0, 4];[0, 5]
20.49;[0, 1];[0, 1];[0, 1, 1];[0, 4];[0, 5]
